leg_id,flight_id,date,aircraft,from,to,start,finish,crew_group_id
100087,87,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T04:40,2008-03-01T05:10,
100088,88,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T05:00,2008-03-01T05:30,
100089,89,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T05:20,2008-03-01T05:50,
100090,90,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T05:40,2008-03-01T06:10,
100091,91,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T06:00,2008-03-01T06:30,
100092,92,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T06:20,2008-03-01T06:50,
100093,93,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T06:40,2008-03-01T07:10,
100094,94,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T07:00,2008-03-01T07:30,
100095,95,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T07:20,2008-03-01T07:50,
100096,96,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T07:40,2008-03-01T08:10,
100097,97,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T08:00,2008-03-01T08:30,
100098,98,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T08:20,2008-03-01T08:50,
100099,99,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T08:40,2008-03-01T09:10,
1000100,100,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T09:00,2008-03-01T09:30,
1000101,101,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T09:20,2008-03-01T09:50,
1000102,102,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T09:40,2008-03-01T10:10,
1000103,103,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T10:00,2008-03-01T10:30,
1000104,104,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T10:20,2008-03-01T10:50,
1000105,105,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T10:40,2008-03-01T11:10,
1000106,106,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T11:00,2008-03-01T11:30,
1000107,107,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T11:20,2008-03-01T11:50,
1000108,108,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T11:40,2008-03-01T12:10,
1000109,109,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T12:00,2008-03-01T12:30,
1000110,110,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T12:20,2008-03-01T12:50,
1000111,111,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T12:40,2008-03-01T13:10,
1000112,112,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T13:00,2008-03-01T13:30,
1000113,113,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T13:20,2008-03-01T13:50,
1000114,114,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T13:40,2008-03-01T14:10,
1000115,115,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T14:00,2008-03-01T14:30,
1000116,116,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T14:20,2008-03-01T14:50,
1000117,117,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T14:40,2008-03-01T15:10,
1000118,118,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T15:00,2008-03-01T15:30,
1000119,119,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T15:20,2008-03-01T15:50,
1000120,120,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T15:40,2008-03-01T16:10,
1000121,121,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T16:00,2008-03-01T16:30,
1000122,122,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T16:20,2008-03-01T16:50,
1000123,123,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T16:40,2008-03-01T17:10,
1000124,124,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T17:00,2008-03-01T17:30,
1000125,125,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T17:20,2008-03-01T17:50,
1000126,126,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T17:40,2008-03-01T18:10,
1000127,127,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T18:00,2008-03-01T18:30,
1000128,128,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T18:20,2008-03-01T18:50,
1000129,129,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T18:40,2008-03-01T19:10,
1000130,130,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T19:00,2008-03-01T19:30,
1000131,131,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T19:20,2008-03-01T19:50,
1000132,132,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T19:40,2008-03-01T20:10,
1000133,133,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T20:00,2008-03-01T20:30,
1000134,134,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T20:20,2008-03-01T20:50,
1000135,135,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T20:40,2008-03-01T21:10,
1000136,136,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T21:00,2008-03-01T21:30,
1000137,137,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T21:20,2008-03-01T21:50,
1000138,138,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T21:40,2008-03-01T22:10,
1000139,139,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T22:00,2008-03-01T22:30,
1000140,140,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T22:20,2008-03-01T22:50,
1000141,141,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T22:40,2008-03-01T23:10,
1000142,142,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T23:00,2008-03-01T23:30,
1000143,143,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T23:20,2008-03-01T23:50,
1000144,144,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T23:40,2008-03-02T00:10,
1000145,145,2008-03-01,A340#70,BEY,CDG,2008-03-01T13:45,2008-03-01T18:30,1062563731
1000146,146,2008-03-01,A340#70,CDG,BEY,2008-03-01T07:35,2008-03-01T11:45,1062563731
1000148,148,2008-03-01,B777#89,CDG,BEY,2008-03-01T12:40,2008-03-01T17:00,335171738
1000149,149,2008-03-01,A340#16,BEY,CDG,2008-03-01T06:05,2008-03-01T10:45,759101347
1000580,580,2008-03-01,A318#34,CDG,MAD,2008-03-01T06:15,2008-03-01T08:20,657187435
1000581,581,2008-03-01,A318#34,MAD,CDG,2008-03-01T09:25,2008-03-01T11:30,657187435
1000586,586,2008-03-01,A320#51,CDG,DUS,2008-03-01T19:40,2008-03-01T20:55,764807854
1000587,587,2008-03-01,A320#98,DUS,CDG,2008-03-01T06:20,2008-03-01T07:35,1463368591
1000598,598,2008-03-01,A320#138,CDG,FRA,2008-03-01T19:10,2008-03-01T20:35,1615964618
1000599,599,2008-03-01,A320#105,FRA,CDG,2008-03-01T06:25,2008-03-01T07:45,1464793213
1000604,604,2008-03-01,A320#57,CDG,LIS,2008-03-01T06:25,2008-03-01T08:55,94993703
1000605,605,2008-03-01,A320#57,LIS,CDG,2008-03-01T11:20,2008-03-01T13:50,94993703
1000622,622,2008-03-01,A320#102,CDG,GVA,2008-03-01T17:30,2008-03-01T18:40,1048776017
1000623,623,2008-03-01,A320#102,GVA,CDG,2008-03-01T19:30,2008-03-01T20:40,1048776017
1000628,628,2008-03-01,A320#47,CDG,BCN,2008-03-01T05:40,2008-03-01T07:25,65231430
1000629,629,2008-03-01,A320#47,BCN,CDG,2008-03-01T08:30,2008-03-01T10:25,65231430
1000694,694,2008-03-01,B737400#64,CDG,MXP,2008-03-01T06:45,2008-03-01T08:20,2043738361
1000695,695,2008-03-01,A320#161,MXP,CDG,2008-03-01T09:30,2008-03-01T11:00,185398434
1000702,702,2008-03-01,A320#57,CDG,MUC,2008-03-01T19:25,2008-03-01T21:00,2064114621
1000703,703,2008-03-01,B737800#162,MUC,CDG,2008-03-01T06:10,2008-03-01T07:55,792254578
1000706,706,2008-03-01,B737900#65,CDG,VCE,2008-03-01T06:25,2008-03-01T08:10,473104005
1000707,707,2008-03-01,B737900#65,VCE,CDG,2008-03-01T09:10,2008-03-01T11:00,473104005
1000718,718,2008-03-01,A320#56,CDG,VIE,2008-03-01T06:15,2008-03-01T08:15,166848991
1000719,719,2008-03-01,A320#56,VIE,CDG,2008-03-01T09:10,2008-03-01T11:15,166848991
1000720,720,2008-03-01,A319#38,CDG,AMS,2008-03-01T05:45,2008-03-01T07:05,1835196615
1000721,721,2008-03-01,A319#38,AMS,CDG,2008-03-01T07:55,2008-03-01T09:10,1835196615
1000728,728,2008-03-01,A320#53,CDG,BCN,2008-03-01T06:45,2008-03-01T08:30,1878547240
1000729,729,2008-03-01,A320#53,BCN,CDG,2008-03-01T09:30,2008-03-01T11:25,1878547240
1000750,750,2008-03-01,A321#63,CDG,LHR,2008-03-01T07:00,2008-03-01T08:25,696010446
1000751,751,2008-03-01,A321#63,LHR,CDG,2008-03-01T09:15,2008-03-01T10:25,696010446
1000784,784,2008-03-01,A320#50,CDG,FCO,2008-03-01T06:15,2008-03-01T08:20,1148687997
1000785,785,2008-03-01,A320#50,FCO,CDG,2008-03-01T09:20,2008-03-01T11:30,1148687997
1000820,820,2008-03-01,CRJ100#66,CDG,AMS,2008-03-01T06:20,2008-03-01T07:40,373978677
1000821,821,2008-03-01,BAE200#171,AMS,CDG,2008-03-01T08:30,2008-03-01T09:45,908099452
1000822,822,2008-03-01,A319#190,CDG,GVA,2008-03-01T19:00,2008-03-01T20:10,857512758
1000823,823,2008-03-01,A321#107,GVA,CDG,2008-03-01T06:30,2008-03-01T07:40,2090366750
1000850,850,2008-03-01,A319#5,CDG,LHR,2008-03-01T08:00,2008-03-01T09:25,2039633683
1000851,851,2008-03-01,A319#5,LHR,CDG,2008-03-01T10:15,2008-03-01T11:25,2039633683
1000864,864,2008-03-01,A330#69,CDG,TUN,2008-03-01T15:10,2008-03-01T17:40,211620115
1000865,865,2008-03-01,B747#244,TUN,CDG,2008-03-01T18:40,2008-03-01T21:15,1075466215
1000880,880,2008-03-01,A320#105,CDG,MAD,2008-03-01T08:40,2008-03-01T10:45,1464793213
1000881,881,2008-03-01,A319#190,MAD,CDG,2008-03-01T11:55,2008-03-01T14:00,857512758
1000886,886,2008-03-01,A320#51,CDG,DUS,2008-03-01T06:20,2008-03-01T07:35,1878748607
1000887,887,2008-03-01,A320#8,DUS,CDG,2008-03-01T09:55,2008-03-01T11:10,1903678842
1000898,898,2008-03-01,A320#49,CDG,FRA,2008-03-01T06:00,2008-03-01T07:25,1466433944
1000899,899,2008-03-01,A320#49,FRA,CDG,2008-03-01T08:15,2008-03-01T09:35,1466433944
1000920,920,2008-03-01,A320#60,CDG,AMS,2008-03-01T07:05,2008-03-01T08:25,1142969686
1000921,921,2008-03-01,A320#60,AMS,CDG,2008-03-01T09:30,2008-03-01T10:45,1142969686
1000928,928,2008-03-01,A321#164,CDG,BCN,2008-03-01T09:00,2008-03-01T10:45,1667359241
1000929,929,2008-03-01,A321#164,BCN,CDG,2008-03-01T11:50,2008-03-01T13:45,773559890
1000950,950,2008-03-01,A320#138,CDG,LHR,2008-03-01T09:00,2008-03-01T10:20,1963290261
1000951,951,2008-03-01,A320#138,LHR,CDG,2008-03-01T11:15,2008-03-01T12:25,1963290261
1000962,962,2008-03-01,A320#58,CDG,PRG,2008-03-01T06:35,2008-03-01T08:20,653369842
1000963,963,2008-03-01,A320#58,PRG,CDG,2008-03-01T09:05,2008-03-01T10:50,653369842
1000980,980,2008-03-01,A319#99,CDG,MAD,2008-03-01T09:35,2008-03-01T11:40,767019185
1000981,981,2008-03-01,B737300#140,MAD,CDG,2008-03-01T12:30,2008-03-01T14:35,2087460833
1000984,984,2008-03-01,A320#55,CDG,FCO,2008-03-01T07:50,2008-03-01T09:55,1587430512
1000985,985,2008-03-01,A320#55,FCO,CDG,2008-03-01T10:55,2008-03-01T13:05,1587430512
1000998,998,2008-03-01,A319#43,CDG,FRA,2008-03-01T06:35,2008-03-01T08:00,1816610767
1000999,999,2008-03-01,A319#126,FRA,CDG,2008-03-01T09:40,2008-03-01T11:00,12549208
10001002,1002,2008-03-01,A319#39,CDG,MUC,2008-03-01T06:00,2008-03-01T07:35,1477521204
10001003,1003,2008-03-01,A319#39,MUC,CDG,2008-03-01T08:25,2008-03-01T10:10,1477521204
10001006,1006,2008-03-01,A320#250,CDG,VCE,2008-03-01T08:55,2008-03-01T10:40,1965944111
10001007,1007,2008-03-01,A321#251,VCE,CDG,2008-03-01T11:40,2008-03-01T13:30,1534737996
10001018,1018,2008-03-01,A320#7,CDG,VIE,2008-03-01T08:40,2008-03-01T10:40,1704637349
10001019,1019,2008-03-01,A320#7,VIE,CDG,2008-03-01T11:35,2008-03-01T13:40,1704637349
10001084,1084,2008-03-01,A319#44,CDG,FCO,2008-03-01T08:50,2008-03-01T10:55,867244187
10001085,1085,2008-03-01,A320#205,FCO,CDG,2008-03-01T12:00,2008-03-01T14:10,2101176022
10001102,1102,2008-03-01,A319#45,CDG,MUC,2008-03-01T06:45,2008-03-01T08:20,1599612079
10001103,1103,2008-03-01,A319#45,MUC,CDG,2008-03-01T09:10,2008-03-01T10:55,1599612079
10001122,1122,2008-03-01,A319#41,CDG,GVA,2008-03-01T06:00,2008-03-01T07:10,435943218
10001123,1123,2008-03-01,A319#41,GVA,CDG,2008-03-01T08:00,2008-03-01T09:10,435943218
10001150,1150,2008-03-01,A319#38,CDG,LHR,2008-03-01T11:00,2008-03-01T12:15,1835196615
10001151,1151,2008-03-01,A319#38,LHR,CDG,2008-03-01T13:05,2008-03-01T14:15,1835196615
10001170,1170,2008-03-01,B777#76,CDG,IST,2008-03-01T09:05,2008-03-01T12:25,120992252
10001171,1171,2008-03-01,B777#76,IST,CDG,2008-03-01T13:25,2008-03-01T17:10,120992252
10001180,1180,2008-03-01,A320#60,CDG,MAD,2008-03-01T11:40,2008-03-01T13:45,740176887
10001181,1181,2008-03-01,A319#99,MAD,CDG,2008-03-01T14:35,2008-03-01T16:40,187485474
10001184,1184,2008-03-01,A320#139,CDG,FCO,2008-03-01T10:05,2008-03-01T12:10,1481915247
10001185,1185,2008-03-01,A320#139,FCO,CDG,2008-03-01T13:10,2008-03-01T15:20,1139745998
10001186,1186,2008-03-01,A320#206,CDG,DUS,2008-03-01T09:20,2008-03-01T10:35,59250330
10001187,1187,2008-03-01,A320#51,DUS,CDG,2008-03-01T12:25,2008-03-01T13:40,1878748607
10001198,1198,2008-03-01,A318#36,CDG,FRA,2008-03-01T08:45,2008-03-01T10:10,302063757
10001199,1199,2008-03-01,A318#36,FRA,CDG,2008-03-01T12:50,2008-03-01T14:10,302063757
10001204,1204,2008-03-01,A319#39,CDG,LIS,2008-03-01T11:55,2008-03-01T14:25,2075228198
10001205,1205,2008-03-01,A319#39,LIS,CDG,2008-03-01T15:15,2008-03-01T17:45,2075228198
10001220,1220,2008-03-01,BAE200#171,CDG,AMS,2008-03-01T10:35,2008-03-01T11:55,908099452
10001221,1221,2008-03-01,A319#78,AMS,CDG,2008-03-01T12:45,2008-03-01T14:00,238583656
10001222,1222,2008-03-01,A320#54,CDG,GVA,2008-03-01T07:00,2008-03-01T08:10,1587173014
10001223,1223,2008-03-01,A320#54,GVA,CDG,2008-03-01T10:00,2008-03-01T11:10,1587173014
10001224,1224,2008-03-01,A340#72,CDG,SVO,2008-03-01T06:20,2008-03-01T10:00,1780414719
10001225,1225,2008-03-01,A340#72,SVO,CDG,2008-03-01T11:00,2008-03-01T15:00,1780414719
10001228,1228,2008-03-01,A319#45,CDG,BCN,2008-03-01T11:55,2008-03-01T13:40,1599612079
10001229,1229,2008-03-01,A319#45,BCN,CDG,2008-03-01T14:45,2008-03-01T16:40,1599612079
10001250,1250,2008-03-01,B737900#65,CDG,LHR,2008-03-01T12:00,2008-03-01T13:10,473104005
10001251,1251,2008-03-01,B737900#65,LHR,CDG,2008-03-01T14:00,2008-03-01T15:10,473104005
10001264,1264,2008-03-01,B777#220,CDG,TUN,2008-03-01T20:15,2008-03-01T22:45,1472639243
10001265,1265,2008-03-01,B777#245,TUN,CDG,2008-03-01T07:55,2008-03-01T10:30,1576184881
10001276,1276,2008-03-01,A340#16,CDG,CMN,2008-03-01T20:05,2008-03-01T23:10,1130118952
10001277,1277,2008-03-01,B777#89,CMN,CDG,2008-03-01T07:55,2008-03-01T11:00,335171738
10001280,1280,2008-03-01,A320#8,CDG,MAD,2008-03-01T13:10,2008-03-01T15:15,1891923667
10001281,1281,2008-03-01,A320#8,MAD,CDG,2008-03-01T16:10,2008-03-01T18:15,1891923667
10001294,1294,2008-03-01,A321#121,CDG,MXP,2008-03-01T12:05,2008-03-01T13:40,311026875
10001295,1295,2008-03-01,A321#121,MXP,CDG,2008-03-01T15:00,2008-03-01T16:30,844720900
10001302,1302,2008-03-01,A319#4,CDG,MUC,2008-03-01T09:20,2008-03-01T10:55,607156385
10001303,1303,2008-03-01,A319#4,MUC,CDG,2008-03-01T12:00,2008-03-01T13:45,607156385
10001306,1306,2008-03-01,A319#42,CDG,VCE,2008-03-01T11:35,2008-03-01T13:20,1772116450
10001307,1307,2008-03-01,A319#42,VCE,CDG,2008-03-01T14:10,2008-03-01T16:00,1772116450
10001318,1318,2008-03-01,B737900#96,CDG,VIE,2008-03-01T11:40,2008-03-01T13:40,1495203957
10001319,1319,2008-03-01,A318#125,VIE,CDG,2008-03-01T14:30,2008-03-01T16:35,41568198
10001320,1320,2008-03-01,A320#58,CDG,AMS,2008-03-01T11:35,2008-03-01T12:50,653369842
10001321,1321,2008-03-01,A319#127,AMS,CDG,2008-03-01T14:35,2008-03-01T15:50,1189255965
10001328,1328,2008-03-01,A320#56,CDG,BCN,2008-03-01T13:15,2008-03-01T15:00,696936625
10001329,1329,2008-03-01,A320#56,BCN,CDG,2008-03-01T16:10,2008-03-01T18:05,696936625
10001370,1370,2008-03-01,B777#245,CDG,IST,2008-03-01T11:35,2008-03-01T14:55,1169335176
10001371,1371,2008-03-01,B777#245,IST,CDG,2008-03-01T16:45,2008-03-01T20:30,1169335176
10001380,1380,2008-03-01,B737400#64,CDG,MAD,2008-03-01T14:30,2008-03-01T16:35,1036349728
10001381,1381,2008-03-01,A320#129,MAD,CDG,2008-03-01T17:25,2008-03-01T19:30,789341451
10001422,1422,2008-03-01,A321#107,CDG,GVA,2008-03-01T09:00,2008-03-01T10:10,2090366750
10001423,1423,2008-03-01,A321#107,GVA,CDG,2008-03-01T11:00,2008-03-01T12:10,2090366750
10001450,1450,2008-03-01,A320#55,CDG,LHR,2008-03-01T14:00,2008-03-01T15:10,1587430512
10001451,1451,2008-03-01,A320#55,LHR,CDG,2008-03-01T16:00,2008-03-01T17:10,1587430512
10001476,1476,2008-03-01,B747#75,CDG,CMN,2008-03-01T14:30,2008-03-01T17:35,1977504888
