id,airport,start,finish,capacity,type,misuse_penalty
125,BIQ,2008-03-01T10:00,2008-03-01T11:00,1,t,0
126,BIQ,2008-03-01T10:00,2008-03-01T11:00,1,l,0
127,BIQ,2008-03-01T11:00,2008-03-01T12:00,1,t,6000
128,BIQ,2008-03-01T12:00,2008-03-01T13:00,1,t,0
129,BIQ,2008-03-01T13:00,2008-03-01T14:00,1,t,0
130,BIQ,2008-03-01T12:00,2008-03-01T13:00,1,l,0
131,BIQ,2008-03-01T13:00,2008-03-01T14:00,1,l,0
132,BIQ,2008-03-01T14:00,2008-03-01T15:00,1,l,0
133,BIQ,2008-03-01T15:00,2008-03-01T16:00,1,t,0
134,BIQ,2008-03-01T17:00,2008-03-01T18:00,1,t,0
135,BIQ,2008-03-01T17:00,2008-03-01T18:00,1,l,0
136,BIQ,2008-03-01T18:00,2008-03-01T19:00,1,t,0
137,BIQ,2008-03-01T18:00,2008-03-01T19:00,2,l,0
138,BIQ,2008-03-01T19:00,2008-03-01T20:00,1,t,0
139,BIQ,2008-03-01T20:00,2008-03-01T21:00,1,t,0
140,BIQ,2008-03-01T19:00,2008-03-01T20:00,1,l,0
141,BIQ,2008-03-01T20:00,2008-03-01T21:00,1,l,0
142,BIQ,2008-03-01T21:00,2008-03-01T22:00,2,l,0
143,BOD,2008-03-01T05:00,2008-03-01T06:00,6,t,0
144,BOD,2008-03-01T06:00,2008-03-01T07:00,3,t,0
145,BOD,2008-03-01T06:00,2008-03-01T07:00,7,l,0
146,BOD,2008-03-01T07:00,2008-03-01T08:00,9,t,0
147,BOD,2008-03-01T07:00,2008-03-01T08:00,4,l,0
148,BOD,2008-03-01T08:00,2008-03-01T09:00,3,t,0
149,BOD,2008-03-01T08:00,2008-03-01T09:00,2,l,4000
150,BOD,2008-03-01T09:00,2008-03-01T10:00,2,t,6000
151,BOD,2008-03-01T09:00,2008-03-01T10:00,5,l,0
152,BOD,2008-03-01T10:00,2008-03-01T11:00,5,t,0
153,BOD,2008-03-01T10:00,2008-03-01T11:00,7,l,0
154,BOD,2008-03-01T11:00,2008-03-01T12:00,6,t,0
155,BOD,2008-03-01T11:00,2008-03-01T12:00,4,l,0
156,BOD,2008-03-01T12:00,2008-03-01T13:00,4,t,0
157,BOD,2008-03-01T12:00,2008-03-01T13:00,1,l,0
158,BOD,2008-03-01T13:00,2008-03-01T14:00,3,l,0
159,BOD,2008-03-01T14:00,2008-03-01T15:00,3,t,0
160,BOD,2008-03-01T14:00,2008-03-01T15:00,2,l,7000
161,BOD,2008-03-01T15:00,2008-03-01T16:00,3,t,0
162,BOD,2008-03-01T15:00,2008-03-01T16:00,6,l,0
163,BOD,2008-03-01T16:00,2008-03-01T17:00,8,t,0
164,BOD,2008-03-01T16:00,2008-03-01T17:00,2,l,0
165,BOD,2008-03-01T17:00,2008-03-01T18:00,1,t,0
166,BOD,2008-03-01T17:00,2008-03-01T18:00,4,l,0
167,BOD,2008-03-01T18:00,2008-03-01T19:00,2,t,0
168,BOD,2008-03-01T18:00,2008-03-01T19:00,4,l,1000
169,BOD,2008-03-01T19:00,2008-03-01T20:00,6,t,7000
170,BOD,2008-03-01T19:00,2008-03-01T20:00,6,l,0
171,BOD,2008-03-01T20:00,2008-03-01T21:00,2,t,0
172,BOD,2008-03-01T20:00,2008-03-01T21:00,3,l,0
173,BOD,2008-03-01T21:00,2008-03-01T22:00,3,l,0
174,CDG,2008-03-01T05:00,2008-03-01T06:00,2,t,0
175,CDG,2008-03-01T06:00,2008-03-01T07:00,28,t,0
176,CDG,2008-03-01T06:00,2008-03-01T07:00,6,l,0
177,CDG,2008-03-01T07:00,2008-03-01T08:00,11,t,0
178,CDG,2008-03-01T07:00,2008-03-01T08:00,16,l,0
179,CDG,2008-03-01T08:00,2008-03-01T09:00,15,t,0
180,CDG,2008-03-01T08:00,2008-03-01T09:00,14,l,0
181,CDG,2008-03-01T09:00,2008-03-01T10:00,15,t,0
182,CDG,2008-03-01T09:00,2008-03-01T10:00,10,l,0
183,CDG,2008-03-01T10:00,2008-03-01T11:00,8,t,0
184,CDG,2008-03-01T10:00,2008-03-01T11:00,21,l,0
185,CDG,2008-03-01T11:00,2008-03-01T12:00,21,t,0
186,CDG,2008-03-01T11:00,2008-03-01T12:00,21,l,1000
187,CDG,2008-03-01T12:00,2008-03-01T13:00,20,t,0
188,CDG,2008-03-01T12:00,2008-03-01T13:00,5,l,0
189,CDG,2008-03-01T13:00,2008-03-01T14:00,5,t,0
190,CDG,2008-03-01T13:00,2008-03-01T14:00,17,l,0
191,CDG,2008-03-01T14:00,2008-03-01T15:00,17,t,0
192,CDG,2008-03-01T14:00,2008-03-01T15:00,15,l,0
193,CDG,2008-03-01T15:00,2008-03-01T16:00,18,t,0
194,CDG,2008-03-01T15:00,2008-03-01T16:00,11,l,0
195,CDG,2008-03-01T16:00,2008-03-01T17:00,14,t,0
196,CDG,2008-03-01T16:00,2008-03-01T17:00,14,l,0
197,CDG,2008-03-01T17:00,2008-03-01T18:00,22,t,0
198,CDG,2008-03-01T17:00,2008-03-01T18:00,18,l,0
199,CDG,2008-03-01T18:00,2008-03-01T19:00,8,t,0
200,CDG,2008-03-01T18:00,2008-03-01T19:00,19,l,0
201,CDG,2008-03-01T19:00,2008-03-01T20:00,15,t,0
202,CDG,2008-03-01T19:00,2008-03-01T20:00,12,l,0
203,CDG,2008-03-01T20:00,2008-03-01T21:00,16,t,0
204,CDG,2008-03-01T20:00,2008-03-01T21:00,11,l,0
205,CDG,2008-03-01T21:00,2008-03-01T22:00,21,l,0
206,CDG,2008-03-01T22:00,2008-03-01T23:00,2,l,0
207,CFE,2008-03-01T05:00,2008-03-01T06:00,6,t,0
208,CFE,2008-03-01T06:00,2008-03-01T07:00,4,t,0
209,CFE,2008-03-01T06:00,2008-03-01T07:00,1,l,0
210,CFE,2008-03-01T07:00,2008-03-01T08:00,1,t,0
211,CFE,2008-03-01T07:00,2008-03-01T08:00,1,l,0
212,CFE,2008-03-01T08:00,2008-03-01T09:00,1,t,0
213,CFE,2008-03-01T08:00,2008-03-01T09:00,9,l,0
214,CFE,2008-03-01T09:00,2008-03-01T10:00,8,t,0
215,CFE,2008-03-01T09:00,2008-03-01T10:00,2,l,0
216,CFE,2008-03-01T12:00,2008-03-01T13:00,1,l,0
217,CFE,2008-03-01T13:00,2008-03-01T14:00,1,t,0
218,CFE,2008-03-01T13:00,2008-03-01T14:00,1,l,0
219,CFE,2008-03-01T15:00,2008-03-01T16:00,1,t,4000
220,CFE,2008-03-01T15:00,2008-03-01T16:00,1,l,6000
221,CFE,2008-03-01T16:00,2008-03-01T17:00,2,t,0
222,CFE,2008-03-01T16:00,2008-03-01T17:00,3,l,0
223,CFE,2008-03-01T17:00,2008-03-01T18:00,8,t,0
224,CFE,2008-03-01T17:00,2008-03-01T18:00,7,l,0
225,CFE,2008-03-01T18:00,2008-03-01T19:00,1,t,6000
226,CFE,2008-03-01T19:00,2008-03-01T20:00,2,l,0
227,CFE,2008-03-01T20:00,2008-03-01T21:00,4,l,0
228,CFE,2008-03-01T21:00,2008-03-01T22:00,1,l,0
229,CMN,2008-03-01T07:00,2008-03-01T08:00,1,t,8000
230,CMN,2008-03-01T08:00,2008-03-01T09:00,1,t,0
231,CMN,2008-03-01T11:00,2008-03-01T12:00,1,l,0
232,CMN,2008-03-01T12:00,2008-03-01T13:00,1,t,0
233,CMN,2008-03-01T14:00,2008-03-01T15:00,2,l,0
234,CMN,2008-03-01T15:00,2008-03-01T16:00,1,l,0
235,CMN,2008-03-01T16:00,2008-03-01T17:00,1,t,0
236,CMN,2008-03-01T17:00,2008-03-01T18:00,1,l,0
237,CMN,2008-03-01T18:00,2008-03-01T19:00,1,t,0
238,CMN,2008-03-01T23:00,2008-03-02T00:00,1,l,0
239,CTA,2008-03-01T05:00,2008-03-01T06:00,2,t,0
240,CTA,2008-03-01T06:00,2008-03-01T07:00,1,t,0
241,CTA,2008-03-01T09:00,2008-03-01T10:00,1,t,0
242,CTA,2008-03-01T10:00,2008-03-01T11:00,2,t,2000
243,CTA,2008-03-01T10:00,2008-03-01T11:00,1,l,0
244,CTA,2008-03-01T11:00,2008-03-01T12:00,1,t,8000
245,CTA,2008-03-01T12:00,2008-03-01T13:00,1,t,2000
246,CTA,2008-03-01T13:00,2008-03-01T14:00,1,l,0
247,CTA,2008-03-01T15:00,2008-03-01T16:00,1,t,0
248,CTA,2008-03-01T15:00,2008-03-01T16:00,2,l,0
249,CTA,2008-03-01T16:00,2008-03-01T17:00,2,t,0
250,CTA,2008-03-01T16:00,2008-03-01T17:00,1,l,0
251,CTA,2008-03-01T17:00,2008-03-01T18:00,1,l,0
252,CTA,2008-03-01T18:00,2008-03-01T19:00,1,t,0
253,CTA,2008-03-01T20:00,2008-03-01T21:00,1,l,0
254,CTA,2008-03-01T22:00,2008-03-01T23:00,2,l,0
255,DUB,2008-03-01T06:00,2008-03-01T07:00,2,t,0
256,DUB,2008-03-01T07:00,2008-03-01T08:00,1,t,0
257,DUB,2008-03-01T08:00,2008-03-01T09:00,1,t,0
258,DUB,2008-03-01T09:00,2008-03-01T10:00,1,t,0
259,DUB,2008-03-01T08:00,2008-03-01T09:00,1,l,0
260,DUB,2008-03-01T09:00,2008-03-01T10:00,1,l,4000
261,DUB,2008-03-01T10:00,2008-03-01T11:00,1,l,0
262,DUB,2008-03-01T11:00,2008-03-01T12:00,1,t,0
263,DUB,2008-03-01T11:00,2008-03-01T12:00,1,l,8000
264,DUB,2008-03-01T12:00,2008-03-01T13:00,1,t,6000
265,DUB,2008-03-01T13:00,2008-03-01T14:00,1,l,0
266,DUB,2008-03-01T14:00,2008-03-01T15:00,1,t,0
267,DUB,2008-03-01T14:00,2008-03-01T15:00,1,l,0
268,DUB,2008-03-01T15:00,2008-03-01T16:00,1,t,0
269,DUB,2008-03-01T17:00,2008-03-01T18:00,1,t,0
270,DUB,2008-03-01T18:00,2008-03-01T19:00,1,t,0
271,DUB,2008-03-01T19:00,2008-03-01T20:00,1,t,0
272,DUB,2008-03-01T17:00,2008-03-01T18:00,1,l,0
273,DUB,2008-03-01T18:00,2008-03-01T19:00,1,l,0
274,DUB,2008-03-01T19:00,2008-03-01T20:00,1,l,0
275,DUB,2008-03-01T21:00,2008-03-01T22:00,2,l,0
276,DUS,2008-03-01T05:00,2008-03-01T06:00,1,t,0
277,DUS,2008-03-01T06:00,2008-03-01T07:00,1,t,0
278,DUS,2008-03-01T07:00,2008-03-01T08:00,1,l,0
279,DUS,2008-03-01T08:00,2008-03-01T09:00,1,l,0
280,DUS,2008-03-01T09:00,2008-03-01T10:00,1,t,0
281,DUS,2008-03-01T09:00,2008-03-01T10:00,1,l,0
282,DUS,2008-03-01T10:00,2008-03-01T11:00,1,l,0
283,DUS,2008-03-01T12:00,2008-03-01T13:00,2,t,0
284,DUS,2008-03-01T13:00,2008-03-01T14:00,1,l,2000
285,DUS,2008-03-01T15:00,2008-03-01T16:00,1,t,0
286,DUS,2008-03-01T15:00,2008-03-01T16:00,1,l,0
287,DUS,2008-03-01T16:00,2008-03-01T17:00,2,t,0
288,DUS,2008-03-01T16:00,2008-03-01T17:00,1,l,0
289,DUS,2008-03-01T18:00,2008-03-01T19:00,1,l,0
290,DUS,2008-03-01T19:00,2008-03-01T20:00,1,t,0
291,DUS,2008-03-01T20:00,2008-03-01T21:00,2,l,0
292,FCO,2008-03-01T05:00,2008-03-01T06:00,1,t,0
293,FCO,2008-03-01T06:00,2008-03-01T07:00,2,t,0
294,FCO,2008-03-01T06:00,2008-03-01T07:00,2,l,0
295,FCO,2008-03-01T07:00,2008-03-01T08:00,1,t,0
296,FCO,2008-03-01T07:00,2008-03-01T08:00,1,l,0
297,FCO,2008-03-01T08:00,2008-03-01T09:00,2,t,0
298,FCO,2008-03-01T08:00,2008-03-01T09:00,2,l,0
299,FCO,2008-03-01T09:00,2008-03-01T10:00,4,t,0
300,FCO,2008-03-01T09:00,2008-03-01T10:00,4,l,0
301,FCO,2008-03-01T10:00,2008-03-01T11:00,3,t,0
302,FCO,2008-03-01T10:00,2008-03-01T11:00,3,l,0
303,FCO,2008-03-01T11:00,2008-03-01T12:00,3,t,0
304,FCO,2008-03-01T11:00,2008-03-01T12:00,4,l,0
305,FCO,2008-03-01T12:00,2008-03-01T13:00,5,t,0
306,FCO,2008-03-01T12:00,2008-03-01T13:00,3,l,8000
307,FCO,2008-03-01T13:00,2008-03-01T14:00,3,t,0
308,FCO,2008-03-01T13:00,2008-03-01T14:00,1,l,0
309,FCO,2008-03-01T14:00,2008-03-01T15:00,1,t,0
310,FCO,2008-03-01T15:00,2008-03-01T16:00,1,l,0
311,FCO,2008-03-01T16:00,2008-03-01T17:00,5,t,0
312,FCO,2008-03-01T16:00,2008-03-01T17:00,3,l,0
313,FCO,2008-03-01T17:00,2008-03-01T18:00,2,t,0
314,FCO,2008-03-01T17:00,2008-03-01T18:00,2,l,7000
315,FCO,2008-03-01T18:00,2008-03-01T19:00,2,t,0
316,FCO,2008-03-01T18:00,2008-03-01T19:00,1,l,0
317,FCO,2008-03-01T19:00,2008-03-01T20:00,1,t,0
318,FCO,2008-03-01T19:00,2008-03-01T20:00,4,l,0
319,FCO,2008-03-01T20:00,2008-03-01T21:00,2,t,0
320,FCO,2008-03-01T20:00,2008-03-01T21:00,2,l,0
321,FCO,2008-03-01T21:00,2008-03-01T22:00,1,l,0
322,FCO,2008-03-01T22:00,2008-03-01T23:00,1,l,1000
323,FRA,2008-03-01T05:00,2008-03-01T06:00,1,t,0
324,FRA,2008-03-01T06:00,2008-03-01T07:00,2,t,0
325,FRA,2008-03-01T07:00,2008-03-01T08:00,1,l,0
326,FRA,2008-03-01T08:00,2008-03-01T09:00,1,t,7000
327,FRA,2008-03-01T08:00,2008-03-01T09:00,1,l,0
328,FRA,2008-03-01T09:00,2008-03-01T10:00,2,t,0
329,FRA,2008-03-01T09:00,2008-03-01T10:00,1,l,0
330,FRA,2008-03-01T10:00,2008-03-01T11:00,1,t,0
331,FRA,2008-03-01T10:00,2008-03-01T11:00,1,l,0
332,FRA,2008-03-01T11:00,2008-03-01T12:00,1,t,0
333,FRA,2008-03-01T12:00,2008-03-01T13:00,2,t,0
334,FRA,2008-03-01T13:00,2008-03-01T14:00,1,l,0
335,FRA,2008-03-01T14:00,2008-03-01T15:00,1,t,0
336,FRA,2008-03-01T14:00,2008-03-01T15:00,1,l,0
337,FRA,2008-03-01T15:00,2008-03-01T16:00,1,l,0
338,FRA,2008-03-01T16:00,2008-03-01T17:00,2,t,0
339,FRA,2008-03-01T16:00,2008-03-01T17:00,3,l,0
340,FRA,2008-03-01T17:00,2008-03-01T18:00,1,t,0
341,FRA,2008-03-01T18:00,2008-03-01T19:00,1,t,5000
342,FRA,2008-03-01T17:00,2008-03-01T18:00,1,l,7000
343,FRA,2008-03-01T18:00,2008-03-01T19:00,1,l,0
344,FRA,2008-03-01T19:00,2008-03-01T20:00,1,t,0
345,FRA,2008-03-01T20:00,2008-03-01T21:00,2,l,0
346,GVA,2008-03-01T06:00,2008-03-01T07:00,1,t,9000
347,GVA,2008-03-01T07:00,2008-03-01T08:00,1,l,0
348,GVA,2008-03-01T08:00,2008-03-01T09:00,1,t,0
349,GVA,2008-03-01T08:00,2008-03-01T09:00,1,l,4000
350,GVA,2008-03-01T09:00,2008-03-01T10:00,1,l,0
351,GVA,2008-03-01T10:00,2008-03-01T11:00,2,t,0
352,GVA,2008-03-01T10:00,2008-03-01T11:00,3,l,0
353,GVA,2008-03-01T11:00,2008-03-01T12:00,3,t,0
354,GVA,2008-03-01T12:00,2008-03-01T13:00,1,t,0
355,GVA,2008-03-01T13:00,2008-03-01T14:00,1,t,0
356,GVA,2008-03-01T14:00,2008-03-01T15:00,1,t,0
357,GVA,2008-03-01T12:00,2008-03-01T13:00,1,l,0
358,GVA,2008-03-01T13:00,2008-03-01T14:00,1,l,4000
359,GVA,2008-03-01T14:00,2008-03-01T15:00,1,l,0
360,GVA,2008-03-01T15:00,2008-03-01T16:00,1,t,0
361,GVA,2008-03-01T15:00,2008-03-01T16:00,3,l,0
362,GVA,2008-03-01T16:00,2008-03-01T17:00,3,t,0
363,GVA,2008-03-01T16:00,2008-03-01T17:00,2,l,4000
364,GVA,2008-03-01T17:00,2008-03-01T18:00,1,t,0
365,GVA,2008-03-01T18:00,2008-03-01T19:00,1,t,0
366,GVA,2008-03-01T17:00,2008-03-01T18:00,1,l,0
367,GVA,2008-03-01T18:00,2008-03-01T19:00,1,l,0
368,GVA,2008-03-01T19:00,2008-03-01T20:00,1,t,0
369,GVA,2008-03-01T20:00,2008-03-01T21:00,1,l,0
370,IST,2008-03-01T07:00,2008-03-01T08:00,1,t,0
371,IST,2008-03-01T12:00,2008-03-01T13:00,1,l,0
372,IST,2008-03-01T13:00,2008-03-01T14:00,1,t,0
373,IST,2008-03-01T14:00,2008-03-01T15:00,1,l,0
374,IST,2008-03-01T15:00,2008-03-01T16:00,1,l,0
375,IST,2008-03-01T16:00,2008-03-01T17:00,1,t,0
376,IST,2008-03-01T21:00,2008-03-01T22:00,1,l,0
377,LCY,2008-03-01T07:00,2008-03-01T08:00,2,l,2000
378,LCY,2008-03-01T08:00,2008-03-01T09:00,2,t,0
379,LCY,2008-03-01T08:00,2008-03-01T09:00,2,l,0
380,LCY,2008-03-01T09:00,2008-03-01T10:00,2,t,0
381,LCY,2008-03-01T09:00,2008-03-01T10:00,1,l,0
382,LCY,2008-03-01T10:00,2008-03-01T11:00,1,l,0
383,LCY,2008-03-01T11:00,2008-03-01T12:00,1,l,0
384,LCY,2008-03-01T12:00,2008-03-01T13:00,1,t,0
385,LCY,2008-03-01T13:00,2008-03-01T14:00,1,t,0
386,LCY,2008-03-01T12:00,2008-03-01T13:00,1,l,0
387,LCY,2008-03-01T13:00,2008-03-01T14:00,1,l,0
388,LCY,2008-03-01T15:00,2008-03-01T16:00,1,l,0
389,LCY,2008-03-01T16:00,2008-03-01T17:00,1,t,0
390,LCY,2008-03-01T16:00,2008-03-01T17:00,1,l,0
391,LCY,2008-03-01T17:00,2008-03-01T18:00,1,t,0
392,LCY,2008-03-01T18:00,2008-03-01T19:00,1,t,0
393,LCY,2008-03-01T18:00,2008-03-01T19:00,1,l,0
394,LCY,2008-03-01T19:00,2008-03-01T20:00,2,t,0
395,LCY,2008-03-01T19:00,2008-03-01T20:00,2,l,0
396,LHR,2008-03-01T06:00,2008-03-01T07:00,1,t,0
397,LHR,2008-03-01T07:00,2008-03-01T08:00,1,l,0
398,LHR,2008-03-01T08:00,2008-03-01T09:00,1,t,0
399,LHR,2008-03-01T08:00,2008-03-01T09:00,2,l,0
400,LHR,2008-03-01T09:00,2008-03-01T10:00,1,t,0
401,LHR,2008-03-01T09:00,2008-03-01T10:00,1,l,0
402,LHR,2008-03-01T10:00,2008-03-01T11:00,2,t,0
403,LHR,2008-03-01T10:00,2008-03-01T11:00,1,l,0
404,LHR,2008-03-01T11:00,2008-03-01T12:00,1,t,0
405,LHR,2008-03-01T12:00,2008-03-01T13:00,1,t,0
406,LHR,2008-03-01T13:00,2008-03-01T14:00,1,t,0
407,LHR,2008-03-01T11:00,2008-03-01T12:00,1,l,0
408,LHR,2008-03-01T12:00,2008-03-01T13:00,1,l,8000
409,LHR,2008-03-01T13:00,2008-03-01T14:00,1,l,0
