crew_id,DUB,SXB,VCE,VIE
JPMXYDCV,1,1,1,1
BNIYYLMU,1,1,1,1
FSLDBJNH,1,1,1,1
ZNQWPUUY,1,1,1,1
CMRMCDOY,1,1,1,1
SKTPHFRV,1,1,1,1
NLVQUKUP,1,1,1,1
BEEDNQHV,1,1,1,1
ODUKSSRC,1,1,1,1
JLZRJYXL,1,1,1,1
WZDMKUCU,1,1,1,1
YDBTPCZC,1,1,1,1
ZHCZGORJ,1,1,1,1
FLOCRBZO,1,1,1,1
EUZZHPAS,1,1,1,1
TPWHICLZ,1,1,1,1
JRGYZOLL,1,1,1,1
ZRMARNXC,1,1,1,1
ZIOJYPIF,1,1,1,1
PGFWGLPV,1,1,1,1
MRGGQXOQ,1,1,1,1
JQEXQNBS,1,1,1,1
HXTVRNSL,1,1,1,1
DBYZDBRT,1,1,1,1
MNNGPOPO,1,1,1,1
BPDPNDZG,1,1,1,1
HFUZKKMV,1,1,1,1
TVLWOCXQ,1,1,1,1
UVWDCZVH,1,1,1,1
FEDOXJCT,1,1,1,1
GAFHJRVA,1,1,1,1
IKCZUVKI,1,1,1,1
PTYHGJRU,1,1,1,1
JWHMIMYE,1,1,1,1
XKSCZQNQ,1,1,1,1
OMSZLVKU,1,1,1,1
ZZLTDXBT,1,1,1,1
YGTPNNNO,1,1,1,1
GPVCOBAM,1,1,1,1
DUENIDNJ,1,1,1,1
BUBNMKUI,1,1,1,1
TNENQLIP,1,1,1,1
AXYYSBDL,1,1,1,1
PUTRIQSI,1,1,1,1
YANOVORY,1,1,1,1
XZCPCAWY,1,1,1,1
QEVCNPED,1,1,1,1
PTVEGOCX,1,1,1,1
VDGPNVKQ,1,1,1,1
MJCHOEUO,1,1,1,1
KEUWDWRV,1,1,1,1
CWIDXCQS,1,1,1,1
ZQUIPEEL,1,1,1,1
ZTOACFSM,1,1,1,1
GCTXPEYC,1,1,1,1
SJVNUYGM,1,1,1,1
IDZPZGUW,1,1,1,1
LCPWCPLW,1,1,1,1
MGJYHZQD,1,1,1,1
OKFCFARJ,1,1,1,1
HQQKUBIY,1,1,1,1
YLRCFDSW,1,1,1,1
ESVCABZW,1,1,1,1
NLBCERNB,1,1,1,1
NSRPUKQS,1,1,1,1
ROGIGKCS,1,1,1,1
JSZFUYRQ,1,1,1,1
UMLCHEVO,1,1,1,1
UKSNIUNP,1,1,1,1
DOLKIWCQ,1,1,1,1
SLSTPSAY,1,1,1,1
WKMWSDRN,1,1,1,1
GYLPJKIA,1,1,1,1
FFNJAVBN,1,1,1,1
ZVQFPIAE,1,1,1,1
XLXZEAPY,1,1,1,1
YRUTZZRJ,1,1,1,1
ILQJDBJH,1,1,1,1
OJXYKRIM,1,1,1,1
EGOEUMJS,1,1,1,1
AQOPOOXK,1,1,1,1
BLCUWZDK,1,1,1,1
VVIINAUY,1,1,1,1
JCQFAZXF,1,1,1,1
XMEDGIHP,1,1,1,1
FJZKEWUV,1,1,1,1
SITTTJVR,1,1,1,1
UYJXCUUW,1,1,1,1
BSWZZONA,1,1,1,1
GITLHWPQ,1,1,1,1
TNNHVDHQ,1,1,1,1
YGVNDQPZ,1,1,1,1
YNKYENQI,1,1,1,1
OIMWTHWJ,1,1,1,1
JIJLNHCQ,1,1,1,1
FWVWBMBU,1,1,1,1
FGHYXQRU,1,1,1,1
AYNVJFWY,1,1,1,1
LOCRAWQE,1,1,1,1
KDGZKBQN,1,1,1,1
PWIPTWSP,1,1,1,1
FVIRFYPV,1,1,1,1
NOOZBQWT,1,1,1,1
IYFYHQSA,1,1,1,1
TPXOTXMF,1,1,1,1
RMABXLDZ,1,1,1,1
XROYXKYA,1,1,1,1
MCKDRFAE,1,1,1,1
NCFCCMBE,1,1,1,1
POPPDUVK,1,1,1,1
MTZNJXON,1,1,1,1
JSCUODIN,1,1,1,1
WLJTVTJB,1,1,1,1
TOBNVWVB,1,1,1,1
HYMNWHLE,1,1,1,1
YCINALUM,1,1,1,1
CHAONPVQ,1,1,1,1
BSRSWETU,1,1,1,1
EPHCYVIP,1,1,1,1
SXWCMTUW,1,1,1,1
ATLKUICE,1,1,1,1
PFFRCWFA,1,1,1,1
ZUIIMGTS,1,1,1,1
SAPKXPUX,1,1,1,1
KNPHZXSO,1,1,1,1
QDTEULIP,1,1,1,1
MQEYSZUT,1,1,1,1
PRZIVEXW,1,1,1,1
VDHMRQLQ,1,1,1,1
JXOIYAQX,1,1,1,1
GDVYJJJW,1,1,1,1
RZAWIIGT,1,1,1,1
WMXTHNRD,1,1,1,1
TGKMNMLH,1,1,1,1
VYLFWOGR,1,1,1,1
WVUGHGPP,1,1,1,1
OPKUZDYO,1,1,1,1
HJAUUJEA,1,1,1,1
IUUPGKUS,1,1,1,1
EXFBKBNW,1,1,1,1
AUBSMDNG,1,1,1,1
ZJEWESHQ,1,1,1,1
JWYXRLIC,1,1,1,1
QZKVBXTR,1,1,1,1
CFJDALCC,1,1,1,1
GJZPZIUV,1,1,1,1
VQOVBLFX,1,1,1,1
FJTAFUVZ,1,1,1,1
BECATELD,1,1,1,1
WHXCVFVA,1,1,1,1
JQRVWAAY,1,1,1,1
ZCXHBCMW,1,1,1,1
MKBLWVZB,1,1,1,1
YHAPQLNW,1,1,1,1
OMOHUDSW,1,1,1,1
FJUNSGDG,1,1,1,1
BOONKAEJ,1,1,1,1
YLPOUGIO,1,1,1,1
QROFPQRD,1,1,1,1
MVHTRPUZ,1,1,1,1
LSKMRJYO,1,1,1,1
LDKWLZEC,1,1,1,1
SNQJOYIW,1,1,1,1
DGGVMJLH,1,1,1,1
UXNWLMYZ,1,1,1,1
EKRJCCZN,1,1,1,1
EUJXYQQW,1,1,1,1
TXWOSJON,1,1,1,1
YLLXTDMX,1,1,1,1
MAQFFQPI,1,1,1,1
VHTLFYIX,1,1,1,1
GYJLDIWE,1,1,1,1
WKVNYLUA,1,1,1,1
VLSRNPFI,1,1,1,1
RZEKRSET,1,1,1,1
VGJPTHIS,1,1,1,1
JMIXXZSY,1,1,1,1
SLSZUCFG,1,1,1,1
FWKQFJWK,1,1,1,1
VDPWZDVW,1,1,1,1
GLJMWAUU,1,1,1,1
NKOQDZAX,1,1,1,1
UHOUQUYR,1,1,1,1
NPNIDFTP,1,1,1,1
AYTYHRSJ,1,1,1,1
WFVUCRFX,1,1,1,1
YRERIXBF,1,1,1,1
UDZRUBLJ,1,1,1,1
ISEMPOIP,1,1,1,1
NHBJBNAX,1,1,1,1
QFIHPZTF,1,1,1,1
GTYXFDHO,1,1,1,1
YIKQYOHO,1,1,1,1
TDKBLOHX,1,1,1,1
MEOJUNMP,1,1,1,1
LDMNQMGS,1,1,1,1
HXBBSLFN,1,1,1,1
XBCHHBPT,1,1,1,1
UCWABZUB,1,1,1,1
YZHYLECI,1,1,1,1
SQZVEJQH,1,1,1,1
XZKNWBGE,1,1,1,1
XFFCSRHM,1,1,1,1
MRKALKMF,1,1,1,1
LPFLUQNO,1,1,1,1
VYUWRMND,1,1,1,1
BREAUDOD,1,1,1,1
EZOCOEMA,1,1,1,1
LNSCZLEM,1,1,1,1
SEIJFGRC,1,1,1,1
JYOOPFIX,1,1,1,1
GKWECGMJ,1,1,1,1
XGLTLOQT,1,1,1,1
DKSYWXQU,1,1,1,1
JRMBEMIK,1,1,1,1
SWYDWOJK,1,1,1,1
VCATOKYB,1,1,1,1
SGKAWAZP,1,1,1,1
ACHPEVAA,1,1,1,1
SXNCZKNH,1,1,1,1
FFLCMQJB,1,1,1,1
SDUBUGZL,1,1,1,1
PXLIKRTJ,1,1,1,1
ZOGOXUBI,1,1,1,1
ZPOHDIWF,1,1,1,1
XXUCNRZE,1,1,1,1
HLZYLECK,1,1,1,1
FVAXQJPM,1,1,1,1
NNFQSHMO,1,1,1,1
HRIPEJZJ,1,1,1,1
YKRUMGNO,1,1,1,1
TXYNXLIV,1,1,1,1
JPBHFVVM,1,1,1,1
IYCAAYWT,1,1,1,1
BKYWPVFR,1,1,1,1
MGHIYJDD,1,1,1,1
EDXBVRAV,1,1,1,1
VJNMHEUV,1,1,1,1
ITJEDSDP,1,1,1,1
VLJZAQZG,1,1,1,1
DSVRWPOH,1,1,1,1
NCRXNZDC,1,1,1,1
JZZHRMTS,1,1,1,1
GLRMHQLD,1,1,1,1
KPJZEPWF,1,1,1,1
TENBUUUB,1,1,1,1
FUVTJVTX,1,1,1,1
XVDTCAJW,1,1,1,1
VYUCYOLR,1,1,1,1
VLCBZUDQ,1,1,1,1
RYFCAPFA,1,1,1,1
JULFUFJA,1,1,1,1
TFHEUQDI,1,1,1,1
OYDWQEKK,1,1,1,1
AETDQNAQ,1,1,1,1
JKQLCZUW,1,1,1,1
RUAVMXIR,1,1,1,1
PHPITSMT,1,1,1,1
UYDPQTCL,1,1,1,1
UNTIOECQ,1,1,1,1
TLNVZHOE,1,1,1,1
OHCUZYHY,1,1,1,1
JUFSUJFO,1,1,1,1
EXJZBIUO,1,1,1,1
XHPLOYHH,1,1,1,1
VYHPUAPR,1,1,1,1
VOXTQJHM,1,1,1,1
MUQUHYFK,1,1,1,1
DTSXKAMT,1,1,1,1
UCRYZQYP,1,1,1,1
EJNYJAVZ,1,1,1,1
KHLDDIEY,1,1,1,1
ANUPHJVW,1,1,1,1
JVBUOSXT,1,1,1,1
XJJNVYWD,1,1,1,1
CMRNDXIQ,1,1,1,1
TDGCAGRR,1,1,1,1
FAJCRFDH,1,1,1,1
QNTNQMDI,1,1,1,1
AAESSTIG,1,1,1,1
SEVZSGSF,1,1,1,1
VNAJFFEX,1,1,1,1
YISMWAPF,1,1,1,1
NRRTYCNY,1,1,1,1
IESGKMOF,1,1,1,1
MKWNDHUB,1,1,1,1
VCTXMVRM,1,1,1,1
VYKHTCAZ,1,1,1,1
HKFEOHVY,1,1,1,1
AZLKDNYD,1,1,1,1
VZZZVBNH,1,1,1,1
NOVAJCTD,1,1,1,1
QMAKZOVT,1,1,1,1
YMMNEJPH,1,1,1,1
PYTWAZHS,1,1,1,1
KOYWCMJS,1,1,1,1
KCWRCUQQ,1,1,1,1
EGXGDSRW,1,1,1,1
LWMBJSMC,1,1,1,1
FIFTYBAZ,1,1,1,1
WSGYVJIX,1,1,1,1
UFADHHPZ,1,1,1,1
JMBJVIPA,1,1,1,1
IQJKVGJQ,1,1,1,1
LTMXHXGN,1,1,1,1
NBYXJSGE,1,1,1,1
QVHAFIAU,1,1,1,1
LMTWOIDC,1,1,1,1
OOMOBIMG,1,1,1,1
FGRANLKY,1,1,1,1
ILJVFSXW,1,1,1,1
HRDDWTQW,1,1,1,1
MPJMBNCD,1,1,1,1
TKTYNCEN,1,1,1,1
DODOBQUN,1,1,1,1
VWHXLVMN,1,1,1,1
EYOENJLC,1,1,1,1
KWZPOFEG,1,1,1,1
NEIJMARD,1,1,1,1
XHJWEANW,1,1,1,1
TTYJCCAU,1,1,1,1
CVCAPUSV,1,1,1,1
CDGXHJGL,1,1,1,1
HCBTJKQI,1,1,1,1
GKYTARBR,1,1,1,1
AZUSILAR,1,1,1,1
ZOKNRKDC,1,1,1,1
UFNTETFP,1,1,1,1
NWNDLXFK,1,1,1,1
GSZONNRB,1,1,1,1
TVASSXFH,1,1,1,1
TDOSHVRI,1,1,1,1
TZITNRGA,1,1,1,1
VSTNSVJG,1,1,1,1
ZIULPEDI,1,1,1,1
DPDBBJMC,1,1,1,1
XCJLCGLC,1,1,1,1
UPZVTTGF,1,1,1,1
NMUOWOKZ,1,1,1,1
QHGJRIRF,1,1,1,1
BVACVUZA,1,1,1,1
PNMATKXP,1,1,1,1
NPDBKSWG,1,1,1,1
PCLQXYTZ,1,1,1,1
IHGAHADB,1,1,1,1
KEHTVREZ,1,1,1,1
NXHFMKYF,1,1,1,1
SJCBQREP,1,1,1,1
REMWUNRQ,1,1,1,1
FDVASUMX,1,1,1,1
JBHUJPXD,1,1,1,1
NYLNBARB,1,1,1,1
BAVBJARN,1,1,1,1
OFTRVTQN,1,1,1,1
DMVJEESG,1,1,1,1
UPFTXLOS,1,1,1,1
QVRZRUFD,1,1,1,1
QBGFSNPP,1,1,1,1
ZQUVHOSI,1,1,1,1
CQLHPBQS,1,1,1,1
GNYWZADS,1,1,1,1
DSZVTIPR,1,1,1,1
VXXKNZCY,1,1,1,1
LWXHJNFU,1,1,1,1
YSKYFDOT,1,1,1,1
PRPEDVHY,1,1,1,1
DABLRRRJ,1,1,1,1
NIYZNTGN,1,1,1,1
WRMUHZXM,1,1,1,1
TORGJZHB,1,1,1,1
XMRBFWBG,1,1,1,1
UWSXBNRA,1,1,1,1
IIBLHXFD,1,1,1,1
GTLLUEKA,1,1,1,1
FNDDFMWN,1,1,1,1
WXDXFRKC,1,1,1,1
FKBINRQB,1,1,1,1
XDPTCPFD,1,1,1,1
ZLKNMZBA,1,1,1,1
YJTVRDSV,1,1,1,1
TQMGZGPN,1,1,1,1
JDICYUJN,1,1,1,1
EXNXFHOB,1,1,1,1
RCDWJTAO,1,1,1,1
SXUZITMN,1,1,1,1
FEASUDNL,1,1,1,1
RBIOGHAW,1,1,1,1
KKLMZYTY,1,1,1,1
ZEBHDFSH,1,1,1,1
JNTVEYUQ,1,1,1,1
ZKVFIMPZ,1,1,1,1
OEFUPKAN,1,1,1,1
ZWZGGXHR,1,1,1,1
XMYBXBWF,1,1,1,1
EPWIRBRJ,1,1,1,1
ZAZOMCPD,1,1,1,1
REJVIAFA,1,1,1,1
DLKIHGNM,1,1,1,1
IIMTGQST,1,1,1,1
CLJHCXUK,1,1,1,1
QPBSFNSW,1,1,1,1
AGTVJSMV,1,1,1,1
HVVSNBYS,1,1,1,1
CGBCSSWH,1,1,1,1
UNRYOPGM,1,1,1,1
RMZVQURE,1,1,1,1
ULMCWJMT,1,1,1,1
ECJWPFPS,1,1,1,1
ZNAVKASK,1,1,1,1
ETPYATSG,1,1,1,1
GZCEAJXQ,1,1,1,1
UETTZVNN,1,1,1,1
VGWUQXHH,1,1,1,1
GARDHSDG,1,1,1,1
IXFCSCAR,1,1,1,1
SZXAPVUZ,1,1,1,1
SWSWNCBQ,1,1,1,1
UBFTXPDI,1,1,1,1
DSVJMHVE,1,1,1,1
ZIVPLRXP,1,1,1,1
UTZWLOYC,1,1,1,1
CZSKWPWX,1,1,1,1
HVUBDYGL,1,1,1,1
NLBVZABR,1,1,1,1
FZHUAPBM,1,1,1,1
DNLLNWJD,1,1,1,1
JRSUYOXN,1,1,1,1
YGEDAHCE,1,1,1,1
WOSCJMVG,1,1,1,1
YSJTSVZT,1,1,1,1
OPELBHPK,1,1,1,1
GAASCUCU,1,1,1,1
MVBAMZZP,1,1,1,1
ALFYBCYG,1,1,1,1
VAELJTGE,1,1,1,1
LTHDBNZB,1,1,1,1
BVBZFEMN,1,1,1,1
SRUVCPKK,1,1,1,1
NMDSCFHS,1,1,1,1
UGIWAYIJ,1,1,1,1
XDNJMMAT,1,1,1,1
IZTCHAWL,1,1,1,1
JVZYNBEL,1,1,1,1
ZFSOOOTA,1,1,1,1
DMKHJQJW,1,1,1,1
JJUWSDAY,1,1,1,1
VNLLEJCO,1,1,1,1
FTHMJPPH,1,1,1,1
BFJIKSFB,1,1,1,1
ZCJYGCCP,1,1,1,1
VZQOQRJY,1,1,1,1
LEVYYEZG,1,1,1,1
QJIQNBIZ,1,1,1,1
NCOYZVSF,1,1,1,1
LKHMZOIB,1,1,1,1
YKBIYZSH,1,1,1,1
FBJXGVQN,1,1,1,1
OVQLEZNI,1,1,1,1
HLNBQGQZ,1,1,1,1
GSJIQZQG,1,1,1,1
ENHYNBMJ,1,1,1,1
UTFOKENR,1,1,1,1
CRAFWZCM,1,1,1,1
GPIXVUGF,1,1,1,1
UYBJSXIU,1,1,1,1
UMXVNCKB,1,1,1,1
THXUYXZY,1,1,1,1
XEAQRSHP,1,1,1,1
JPKDNMRH,1,1,1,1
OXOSEDMH,1,1,1,1
IZOBZLWH,1,1,1,1
ESZYXHXP,1,1,1,1
QSFSWEDS,1,1,1,1
ZIQLVINS,1,1,1,1
AIWFQDGZ,1,1,1,1
KQPFRCEY,1,1,1,1
TYMNTTGV,1,1,1,1
VLEUPVFU,1,1,1,1
IGGCPTRG,1,1,1,1
FMNGEKPR,1,1,1,1
LECBLXSD,1,1,1,1
NZTOGWLD,1,1,1,1
DYZXEVJT,1,1,1,1
RNHNQVOK,1,1,1,1
EZTENKOB,1,1,1,1
FVUOFRFN,1,1,1,1
JIDPKIHJ,1,1,1,1
BXYLBEAD,1,1,1,1
VJFPBOUK,1,1,1,1
YQUBVNJM,1,1,1,1
AAXARFXT,1,1,1,1
WAZINOXZ,1,1,1,1
HNOETLSG,1,1,1,1
NQYHTONK,1,1,1,1
RFAYYVVZ,1,1,1,1
PSTZXBLS,1,1,1,1
GZVFWXEB,1,1,1,1
KNIEITSY,1,1,1,1
LRYMHHEA,1,1,1,1
JVZZGNYV,1,1,1,1
QUVOFEHZ,1,1,1,1
DGBARHJU,1,1,1,1
UGKDWFAN,1,1,1,1
BGCQPFDN,1,1,1,1
MXNKNNZK,1,1,1,1
RRVFDTAY,1,1,1,1
UHKOHDJP,1,1,1,1
QTTYRPJQ,1,1,1,1
BVBOBPOW,1,1,1,1
EDMSDPOC,1,1,1,1
XAKHEJUV,1,1,1,1
SFNGHWES,1,1,1,1
JYQPFDFC,1,1,1,1
OCSHDTVR,1,1,1,1
CMNOUZOH,1,1,1,1
MBOGRGRI,1,1,1,1
JIWWGLNP,1,1,1,1
FXWLAOJJ,1,1,1,1
SWJKYUEA,1,1,1,1
MHTQUEOF,1,1,1,1
MRXZKIGG,1,1,1,1
YHUPAUWC,1,1,1,1
SDNHBJJU,1,1,1,1
TZMXBRKJ,1,1,1,1
XRSJIQYV,1,1,1,1
WARFTLJE,1,1,1,1
JIWHVPVP,1,1,1,1
TAAZSVNX,1,1,1,1
DFWGCOMD,1,1,1,1
CWHNGMBO,1,1,1,1
EBCOZLTC,1,1,1,1
LNSGTUAM,1,1,1,1
CKBJSVQE,1,1,1,1
DYHRWQQU,1,1,1,1
SNYBJWST,1,1,1,1
LIJDBJKM,1,1,1,1
RFLRXTNQ,1,1,1,1
CHTAIQDS,1,1,1,1
LJGAWQFR,1,1,1,1
GQAWXKVH,1,1,1,1
SEZAQMBK,1,1,1,1
YPEJVIVT,1,1,1,1
MATYVSGP,1,1,1,1
GRSUUGPX,1,1,1,1
BNPYUYQV,1,1,1,1
LXRAMJVV,1,1,1,1
HHOZTAPH,1,1,1,1
QNFKNIDX,1,1,1,1
ABFXPFRN,1,1,1,1
ZQKFHIGB,1,1,1,1
GKJSNYKU,1,1,1,1
VZIIOWXO,1,1,1,1
QKZPTVAP,1,1,1,1
MACSMROK,1,1,1,1
UHPCZHOP,1,1,1,1
YHFMEOIK,1,1,1,1
SSHTJSVX,1,1,1,1
FZCVXAFO,1,1,1,1
CQWTEHXU,1,1,1,1
PEYZMYPX,1,1,1,1
PBOIIATT,1,1,1,1
VBRTOCYZ,1,1,1,1
UJOLWSNY,1,1,1,1
BNEJQHWD,1,1,1,1
LRRFVAQP,1,1,1,1
DSYJFQKY,1,1,1,1
SBIZVVCS,1,1,1,1
VRBELADX,1,1,1,1
UNWWTWIL,1,1,1,1
ASUQASJX,1,1,1,1
MTUMALBY,1,1,1,1
PUGWBJDI,1,1,1,1
JYNTHUTB,1,1,1,1
ANUJIAOD,1,1,1,1
AKYZJUDP,1,1,1,1
CURLSTEX,1,1,1,1
WPBEDWWE,1,1,1,1
YHNPXWNM,1,1,1,1
SDJLMEEE,1,1,1,1
CAYRXEKF,1,1,1,1
MGZBIZTJ,1,1,1,1
JDGXFBFX,1,1,1,1
JPXWZKRR,1,1,1,1
SVFKJKSL,1,1,1,1
KZHIGABP,1,1,1,1
UEPMYZYS,1,1,1,1
DNQONYGM,1,1,1,1
MIWXSVKF,1,1,1,1
COVWXRVF,1,1,1,1
QQTFFCGT,1,1,1,1
HMYEFLFQ,1,1,1,1
AHNBLIVZ,1,1,1,1
VKKFBHCY,1,1,1,1
MHTTYOIE,1,1,1,1
DMASNHBO,1,1,1,1
VGSDEBBJ,1,1,1,1
UGOWGALO,1,1,1,1
PSELSZRE,1,1,1,1
DSRBVFSM,1,1,1,1
HCYGBOII,1,1,1,1
LQQQZYQJ,1,1,1,1
MKMPBEIP,1,1,1,1
MOMKRYHT,1,1,1,1
UGIVILJA,1,1,1,1
DOSGLWCI,1,1,1,1
ZSCLZWDI,1,1,1,1
UADAKSKK,1,1,1,1
VXEYQEAM,1,1,1,1
CAMWKUWI,1,1,1,1
FKXACTTK,1,1,1,1
NOPOYDVZ,1,1,1,1
CTJFMHFA,1,1,1,1
SNVLEDON,1,1,1,1
SRYJVBQQ,1,1,1,1
CBXTDLKP,1,1,1,1
BRLVIMSR,1,1,1,1
LJZQXFXF,1,1,1,1
ZDOMZTPP,1,1,1,1
ZSAQPFFJ,1,1,1,1
ZZELJLIN,1,1,1,1
KIRBSETJ,1,1,1,1
OBPEOZFL,1,1,1,1
IIBFFYNU,1,1,1,1
IFIWBOPN,1,1,1,1
BJDFKAWX,1,1,1,1
SYRYHHBN,1,1,1,1
LRPPADUK,1,1,1,1
GZOGYWUZ,1,1,1,1
WPHTANXZ,1,1,1,1
JZOWYFJO,1,1,1,1
SCPSQCTL,1,1,1,1
DKGLMREP,1,1,1,1
OSGGTBAC,1,1,1,1
NRGHBPNH,1,1,1,1
YDPHPBBB,1,1,1,1
ZDGHFFFQ,1,1,1,1
CWJQWETW,1,1,1,1
AYDFOJSS,1,1,1,1
ATIUCHYJ,1,1,1,1
URHWSXDR,1,1,1,1
NJGCKVAT,1,1,1,1
PBYCZBDJ,1,1,1,1
WJUHKONN,1,1,1,1
MKLOXHLX,1,1,1,1
CSKQCXQX,1,1,1,1
RIVKNLYG,1,1,1,1
DPDUJFHS,1,1,1,1
HRPNELUL,1,1,1,1
JHCNFYYK,1,1,1,1
IXLTXSYB,1,1,1,1
CHXJQIHD,1,1,1,1
OJOOCZMM,1,1,1,1
EIOGVGIP,1,1,1,1
OTEDAVPB,1,1,1,1
JHUZMZNE,1,1,1,1
DNZGCBUQ,1,1,1,1
WJBUCTVV,1,1,1,1
CZBMBNXT,1,1,1,1
HTUFLYBR,1,1,1,1
ROTMQILX,1,1,1,1
EUPZNBFM,1,1,1,1
JPLHXRPJ,1,1,1,1
GUJXTGZQ,1,1,1,1
ZDJYICJS,1,1,1,1
MPMYFLWG,1,1,1,1
TKNRRTER,1,1,1,1
VBYYOUDG,1,1,1,1
QKFQDFHK,1,1,1,1
ZDCXVECF,1,1,1,1
JTRINHFB,1,1,1,1
HBEOFSHM,1,1,1,1
GZUHNHFY,1,1,1,1
JZNKZHWW,1,1,1,1
ACPKGTDO,1,1,1,1
KPLCRSVG,1,1,1,1
TCYIVXEI,1,1,1,1
EUPOFVBT,1,1,1,1
UGNWVGKQ,1,1,1,1
PGJJUGSE,1,1,1,1
LWRTFFHW,1,1,1,1
QGISVJWG,1,1,1,1
YIEOZEVH,1,1,1,1
SJMLYNEX,1,1,1,1
NBCOCEGP,1,1,1,1
WFJXUURQ,1,1,1,1
RKAQMAYH,1,1,1,1
EURDCBKI,1,1,1,1
OYRPZJRM,1,1,1,1
TEISYQQT,1,1,1,1
MKUOOVGK,1,1,1,1
MUHKBAZQ,1,1,1,1
KVBGGFTR,1,1,1,1
NKTGIPCL,1,1,1,1
PGDQOICI,1,1,1,1
GZMTMWEA,1,1,1,1
PFLIHOSE,1,1,1,1
BRSYIOPA,1,1,1,1
JJGFIOTG,1,1,1,1
OVLMBMUV,1,1,1,1
SLQWSGDN,1,1,1,1
BOSYVKCT,1,1,1,1
DAZJOWNN,1,1,1,1
QCQUMGZO,1,1,1,1
GZRPJXJG,1,1,1,1
BESUORUJ,1,1,1,1
JCMHPGBC,1,1,1,1
XUCLZYBB,1,1,1,1
WWYNXSBU,1,1,1,1
XDEBMXSS,1,1,1,1
YSJKCFMR,1,1,1,1
PAYONKEX,1,1,1,1
VHBPGIBJ,1,1,1,1
BKPYYRAC,1,1,1,1
IAEFWQOY,1,1,1,1
AFWLAAHK,1,1,1,1
ZJSEKCTW,1,1,1,1
QGBLXEJO,1,1,1,1
VHGNPLEG,1,1,1,1
TFEHBGGX,1,1,1,1
QZVSQCSY,1,1,1,1
UHANVACQ,1,1,1,1
PRIJNOPT,1,1,1,1
HHAKAUCI,1,1,1,1
BMHRVSDM,1,1,1,1
QFENYORX,1,1,1,1
JOKCDXPW,1,1,1,1
PWIYQVHW,1,1,1,1
RUJROTGE,1,1,1,1
