id,position,rank,base,acclimatization,duty_time,rest_time,tacc_week,tacc_month,tacc_year,cpm_deadhead,cpm_reserve,specs
NHHGNWWQ,ORY,ST,ORY,ORY,0,1200,0,0,0,28,58,AirbusSmall
MIKQFATP,NCE,CP,AMS,NCE,0,1200,0,0,0,29,43,BAE
BLNFUDOV,NCE,FO,AMS,NCE,0,1200,0,0,0,24,54,BAE
REIKHKLD,NCE,CS,AMS,NCE,0,1200,0,0,0,27,46,BAE
NMPIDUJE,NCE,ST,AMS,NCE,0,1200,0,0,0,20,58,BAE
IJNQSIXU,NCE,ST,AMS,NCE,0,1200,0,0,0,26,43,BAE
UFRZIMMY,NCE,ST,AMS,NCE,0,1200,0,0,0,24,48,BAE
UUJEVTYB,MAD,CP,PRG,MAD,0,1200,0,0,0,22,40,AirbusSmall
VMKOBPHF,MAD,FO,PRG,MAD,0,1200,0,0,0,27,51,AirbusSmall
MDPBEKDH,MAD,CSD,PRG,MAD,0,1200,0,0,0,20,45,AirbusSmall
EIYYEKRR,MAD,CSD,PRG,MAD,0,1200,0,0,0,27,45,AirbusSmall
EBRZOYUS,MAD,ST,PRG,MAD,0,1200,0,0,0,29,48,AirbusSmall
WSDNLAZC,MAD,ST,PRG,MAD,0,1200,0,0,0,28,44,AirbusSmall
VZDSUPNJ,MAD,ST,PRG,MAD,0,1200,0,0,0,23,46,AirbusSmall
KOFWQWGW,MAD,ST,PRG,MAD,0,1200,0,0,0,22,54,AirbusSmall
KYCZUBVO,MAD,ST,PRG,MAD,0,1200,0,0,0,21,54,AirbusSmall
PPGWLNJJ,MAD,ST,PRG,MAD,0,1200,0,0,0,24,48,AirbusSmall
QJAAFQEF,RNS,CP,CFE,RNS,0,1200,0,0,0,27,55,CRJ
AMLGGMYP,RNS,FO,CFE,RNS,0,1200,0,0,0,28,44,CRJ
XSSIPTQL,RNS,CS,CFE,RNS,0,1200,0,0,0,22,56,CRJ
GEXJYOLW,RNS,ST,CFE,RNS,0,1200,0,0,0,23,53,CRJ
TRAFWJDB,RNS,ST,CFE,RNS,0,1200,0,0,0,24,41,CRJ
WZRMJTEE,BES,CP,BES,BES,0,1200,0,0,0,28,49,Fokker
PPBSALQA,BES,FO,BES,BES,0,1200,0,0,0,22,47,Fokker
JPMXYDCV,BES,CSD,BES,BES,0,1200,0,0,0,22,47,Fokker
BNIYYLMU,BES,ST,BES,BES,0,1200,0,0,0,20,40,Fokker
FSLDBJNH,BES,ST,BES,BES,0,1200,0,0,0,25,47,Fokker
ZNQWPUUY,BES,ST,BES,BES,0,1200,0,0,0,29,53,Fokker
CMRMCDOY,BES,CP,CDG,BES,0,1200,0,0,0,20,58,AirbusSmall
SKTPHFRV,BES,FO,CDG,BES,0,1200,0,0,0,24,46,AirbusSmall
NLVQUKUP,BES,CSD,CDG,BES,0,1200,0,0,0,22,43,AirbusSmall
BEEDNQHV,BES,CSD,CDG,BES,0,1200,0,0,0,20,45,AirbusSmall
ODUKSSRC,BES,ST,CDG,BES,0,1200,0,0,0,29,59,AirbusSmall
JLZRJYXL,BES,ST,CDG,BES,0,1200,0,0,0,22,44,AirbusSmall
WZDMKUCU,BES,ST,CDG,BES,0,1200,0,0,0,28,53,AirbusSmall
YDBTPCZC,BES,ST,CDG,BES,0,1200,0,0,0,24,40,AirbusSmall
ZHCZGORJ,BES,ST,CDG,BES,0,1200,0,0,0,29,46,AirbusSmall
FLOCRBZO,BES,ST,CDG,BES,0,1200,0,0,0,28,59,AirbusSmall
EUZZHPAS,PUF,CP,MPL,PUF,0,1200,0,0,0,29,58,BAE
TPWHICLZ,PUF,FO,MPL,PUF,0,1200,0,0,0,26,44,BAE
JRGYZOLL,PUF,CS,MPL,PUF,0,1200,0,0,0,27,58,BAE
ZRMARNXC,PUF,ST,MPL,PUF,0,1200,0,0,0,21,45,BAE
ZIOJYPIF,PUF,ST,MPL,PUF,0,1200,0,0,0,28,41,BAE
PGFWGLPV,PUF,ST,MPL,PUF,0,1200,0,0,0,29,46,BAE
MRGGQXOQ,RNS,CP,LYS,RNS,0,1200,0,0,0,26,43,ERJ
JQEXQNBS,RNS,FO,LYS,RNS,0,1200,0,0,0,21,59,ERJ
HXTVRNSL,RNS,CSD,LYS,RNS,0,1200,0,0,0,23,47,ERJ
DBYZDBRT,RNS,ST,LYS,RNS,0,1200,0,0,0,26,54,ERJ
MNNGPOPO,RNS,ST,LYS,RNS,0,1200,0,0,0,20,53,ERJ
BPDPNDZG,RNS,CP,CTA,RNS,0,1200,0,0,0,23,48,AirbusSmall
HFUZKKMV,RNS,FO,CTA,RNS,0,1200,0,0,0,23,56,AirbusSmall
TVLWOCXQ,RNS,CSD,CTA,RNS,0,1200,0,0,0,24,57,AirbusSmall
UVWDCZVH,RNS,CSD,CTA,RNS,0,1200,0,0,0,21,53,AirbusSmall
FEDOXJCT,RNS,ST,CTA,RNS,0,1200,0,0,0,22,53,AirbusSmall
GAFHJRVA,RNS,ST,CTA,RNS,0,1200,0,0,0,22,53,AirbusSmall
IKCZUVKI,RNS,ST,CTA,RNS,0,1200,0,0,0,21,46,AirbusSmall
PTYHGJRU,RNS,ST,CTA,RNS,0,1200,0,0,0,25,53,AirbusSmall
JWHMIMYE,RNS,ST,CTA,RNS,0,1200,0,0,0,20,50,AirbusSmall
XKSCZQNQ,RNS,ST,CTA,RNS,0,1200,0,0,0,24,59,AirbusSmall
OMSZLVKU,DUS,CP,MUC,DUS,0,1200,0,0,0,23,59,AirbusSmall
ZZLTDXBT,DUS,FO,MUC,DUS,0,1200,0,0,0,25,43,AirbusSmall
YGTPNNNO,DUS,CSD,MUC,DUS,0,1200,0,0,0,22,53,AirbusSmall
GPVCOBAM,DUS,CSD,MUC,DUS,0,1200,0,0,0,20,58,AirbusSmall
DUENIDNJ,DUS,ST,MUC,DUS,0,1200,0,0,0,24,50,AirbusSmall
BUBNMKUI,DUS,ST,MUC,DUS,0,1200,0,0,0,20,55,AirbusSmall
TNENQLIP,DUS,ST,MUC,DUS,0,1200,0,0,0,21,40,AirbusSmall
AXYYSBDL,DUS,ST,MUC,DUS,0,1200,0,0,0,21,47,AirbusSmall
PUTRIQSI,DUS,ST,MUC,DUS,0,1200,0,0,0,25,45,AirbusSmall
YANOVORY,DUS,ST,MUC,DUS,0,1200,0,0,0,23,58,AirbusSmall
XZCPCAWY,PUF,CP,CDG,PUF,0,1200,0,0,0,20,57,AirbusSmall
QEVCNPED,PUF,FO,CDG,PUF,0,1200,0,0,0,28,57,AirbusSmall
PTVEGOCX,PUF,CSD,CDG,PUF,0,1200,0,0,0,20,58,AirbusSmall
VDGPNVKQ,PUF,CSD,CDG,PUF,0,1200,0,0,0,22,48,AirbusSmall
MJCHOEUO,PUF,ST,CDG,PUF,0,1200,0,0,0,22,40,AirbusSmall
KEUWDWRV,PUF,ST,CDG,PUF,0,1200,0,0,0,27,48,AirbusSmall
CWIDXCQS,PUF,ST,CDG,PUF,0,1200,0,0,0,29,43,AirbusSmall
ZQUIPEEL,PUF,ST,CDG,PUF,0,1200,0,0,0,27,43,AirbusSmall
ZTOACFSM,PUF,ST,CDG,PUF,0,1200,0,0,0,26,42,AirbusSmall
GCTXPEYC,PUF,ST,CDG,PUF,0,1200,0,0,0,27,57,AirbusSmall
SJVNUYGM,CFE,CP,CFE,CFE,0,1200,0,0,0,28,59,Fokker
IDZPZGUW,CFE,FO,CFE,CFE,0,1200,0,0,0,21,47,Fokker
LCPWCPLW,CFE,CSD,CFE,CFE,0,1200,0,0,0,26,53,Fokker
MGJYHZQD,CFE,ST,CFE,CFE,0,1200,0,0,0,25,40,Fokker
OKFCFARJ,CFE,ST,CFE,CFE,0,1200,0,0,0,29,51,Fokker
HQQKUBIY,CFE,ST,CFE,CFE,0,1200,0,0,0,24,57,Fokker
YLRCFDSW,FCO,CP,FCO,FCO,0,1200,0,0,0,20,59,AirbusSmall
ESVCABZW,FCO,FO,FCO,FCO,0,1200,0,0,0,23,46,AirbusSmall
NLBCERNB,FCO,CSD,FCO,FCO,0,1200,0,0,0,29,55,AirbusSmall
NSRPUKQS,FCO,CSD,FCO,FCO,0,1200,0,0,0,22,55,AirbusSmall
ROGIGKCS,FCO,ST,FCO,FCO,0,1200,0,0,0,25,49,AirbusSmall
JSZFUYRQ,FCO,ST,FCO,FCO,0,1200,0,0,0,29,45,AirbusSmall
UMLCHEVO,FCO,ST,FCO,FCO,0,1200,0,0,0,25,45,AirbusSmall
UKSNIUNP,FCO,ST,FCO,FCO,0,1200,0,0,0,23,40,AirbusSmall
DOLKIWCQ,FCO,ST,FCO,FCO,0,1200,0,0,0,28,56,AirbusSmall
SLSTPSAY,FCO,ST,FCO,FCO,0,1200,0,0,0,28,55,AirbusSmall
WKMWSDRN,LIL,CP,LIL,LIL,0,1200,0,0,0,26,49,Fokker
GYLPJKIA,LIL,FO,LIL,LIL,0,1200,0,0,0,29,42,Fokker
FFNJAVBN,LIL,CSD,LIL,LIL,0,1200,0,0,0,28,58,Fokker
ZVQFPIAE,LIL,ST,LIL,LIL,0,1200,0,0,0,24,54,Fokker
XLXZEAPY,LIL,ST,LIL,LIL,0,1200,0,0,0,21,53,Fokker
YRUTZZRJ,LIL,ST,LIL,LIL,0,1200,0,0,0,21,47,Fokker
ILQJDBJH,LYS,CP,LYS,LYS,0,1200,0,0,0,24,58,AirbusSmall
OJXYKRIM,LYS,FO,LYS,LYS,0,1200,0,0,0,29,40,AirbusSmall
EGOEUMJS,LYS,CSD,LYS,LYS,0,1200,0,0,0,20,52,AirbusSmall
AQOPOOXK,LYS,CSD,LYS,LYS,0,1200,0,0,0,20,49,AirbusSmall
BLCUWZDK,LYS,ST,LYS,LYS,0,1200,0,0,0,20,41,AirbusSmall
VVIINAUY,LYS,ST,LYS,LYS,0,1200,0,0,0,21,54,AirbusSmall
JCQFAZXF,LYS,ST,LYS,LYS,0,1200,0,0,0,22,47,AirbusSmall
XMEDGIHP,LYS,ST,LYS,LYS,0,1200,0,0,0,24,56,AirbusSmall
FJZKEWUV,LYS,ST,LYS,LYS,0,1200,0,0,0,27,53,AirbusSmall
SITTTJVR,LYS,ST,LYS,LYS,0,1200,0,0,0,29,47,AirbusSmall
UYJXCUUW,LYS,CP,LYS,LYS,0,1200,0,0,0,26,40,AirbusSmall
BSWZZONA,LYS,FO,LYS,LYS,0,1200,0,0,0,28,49,AirbusSmall
GITLHWPQ,LYS,CSD,LYS,LYS,0,1200,0,0,0,28,40,AirbusSmall
TNNHVDHQ,LYS,CSD,LYS,LYS,0,1200,0,0,0,29,57,AirbusSmall
YGVNDQPZ,LYS,ST,LYS,LYS,0,1200,0,0,0,29,54,AirbusSmall
YNKYENQI,LYS,ST,LYS,LYS,0,1200,0,0,0,26,43,AirbusSmall
OIMWTHWJ,LYS,ST,LYS,LYS,0,1200,0,0,0,29,50,AirbusSmall
JIJLNHCQ,LYS,ST,LYS,LYS,0,1200,0,0,0,28,52,AirbusSmall
FWVWBMBU,LYS,ST,LYS,LYS,0,1200,0,0,0,21,45,AirbusSmall
FGHYXQRU,LYS,ST,LYS,LYS,0,1200,0,0,0,29,56,AirbusSmall
AYNVJFWY,LYS,CP,LYS,LYS,0,1200,0,0,0,20,42,CRJ
LOCRAWQE,LYS,FO,LYS,LYS,0,1200,0,0,0,29,50,CRJ
KDGZKBQN,LYS,CS,LYS,LYS,0,1200,0,0,0,23,43,CRJ
PWIPTWSP,LYS,ST,LYS,LYS,0,1200,0,0,0,25,47,CRJ
FVIRFYPV,LYS,ST,LYS,LYS,0,1200,0,0,0,27,54,CRJ
NOOZBQWT,NTE,CP,NTE,NTE,0,1200,0,0,0,28,44,Fokker
IYFYHQSA,NTE,FO,NTE,NTE,0,1200,0,0,0,20,42,Fokker
TPXOTXMF,NTE,CSD,NTE,NTE,0,1200,0,0,0,20,47,Fokker
RMABXLDZ,NTE,ST,NTE,NTE,0,1200,0,0,0,26,44,Fokker
XROYXKYA,NTE,ST,NTE,NTE,0,1200,0,0,0,28,48,Fokker
MCKDRFAE,NTE,ST,NTE,NTE,0,1200,0,0,0,27,53,Fokker
NCFCCMBE,TLS,CP,TLS,TLS,0,1200,0,0,0,26,43,BoeingSmall
POPPDUVK,TLS,FO,TLS,TLS,0,1200,0,0,0,29,56,BoeingSmall
MTZNJXON,TLS,CS,TLS,TLS,0,1200,0,0,0,20,56,BoeingSmall
JSCUODIN,TLS,ST,TLS,TLS,0,1200,0,0,0,25,54,BoeingSmall
WLJTVTJB,TLS,ST,TLS,TLS,0,1200,0,0,0,29,47,BoeingSmall
TOBNVWVB,TLS,ST,TLS,TLS,0,1200,0,0,0,21,51,BoeingSmall
HYMNWHLE,LIG,CP,BES,LIG,0,1200,0,0,0,23,45,AirbusSmall
YCINALUM,LIG,FO,BES,LIG,0,1200,0,0,0,23,59,AirbusSmall
CHAONPVQ,LIG,CSD,BES,LIG,0,1200,0,0,0,25,54,AirbusSmall
BSRSWETU,LIG,CSD,BES,LIG,0,1200,0,0,0,27,48,AirbusSmall
EPHCYVIP,LIG,ST,BES,LIG,0,1200,0,0,0,22,52,AirbusSmall
SXWCMTUW,LIG,ST,BES,LIG,0,1200,0,0,0,20,55,AirbusSmall
ATLKUICE,LIG,ST,BES,LIG,0,1200,0,0,0,28,49,AirbusSmall
PFFRCWFA,LIG,ST,BES,LIG,0,1200,0,0,0,24,45,AirbusSmall
ZUIIMGTS,LIG,ST,BES,LIG,0,1200,0,0,0,20,55,AirbusSmall
SAPKXPUX,LIG,ST,BES,LIG,0,1200,0,0,0,29,42,AirbusSmall
KNPHZXSO,LIL,CP,NTE,LIL,0,1200,0,0,0,28,47,BAE
QDTEULIP,LIL,FO,NTE,LIL,0,1200,0,0,0,28,58,BAE
MQEYSZUT,LIL,CS,NTE,LIL,0,1200,0,0,0,28,57,BAE
PRZIVEXW,LIL,ST,NTE,LIL,0,1200,0,0,0,29,54,BAE
VDHMRQLQ,LIL,ST,NTE,LIL,0,1200,0,0,0,26,52,BAE
JXOIYAQX,LIL,ST,NTE,LIL,0,1200,0,0,0,22,59,BAE
GDVYJJJW,MLH,CP,SXB,MLH,0,1200,0,0,0,29,40,AirbusSmall
RZAWIIGT,MLH,FO,SXB,MLH,0,1200,0,0,0,29,45,AirbusSmall
WMXTHNRD,MLH,CSD,SXB,MLH,0,1200,0,0,0,25,49,AirbusSmall
TGKMNMLH,MLH,CSD,SXB,MLH,0,1200,0,0,0,26,40,AirbusSmall
VYLFWOGR,MLH,ST,SXB,MLH,0,1200,0,0,0,25,49,AirbusSmall
WVUGHGPP,MLH,ST,SXB,MLH,0,1200,0,0,0,27,42,AirbusSmall
OPKUZDYO,MLH,ST,SXB,MLH,0,1200,0,0,0,20,59,AirbusSmall
HJAUUJEA,MLH,ST,SXB,MLH,0,1200,0,0,0,22,55,AirbusSmall
IUUPGKUS,MLH,ST,SXB,MLH,0,1200,0,0,0,20,43,AirbusSmall
EXFBKBNW,MLH,ST,SXB,MLH,0,1200,0,0,0,27,48,AirbusSmall
AUBSMDNG,MRS,CP,TLS,MRS,0,1200,0,0,0,24,50,AirbusSmall
ZJEWESHQ,MRS,FO,TLS,MRS,0,1200,0,0,0,25,49,AirbusSmall
JWYXRLIC,MRS,CSD,TLS,MRS,0,1200,0,0,0,29,57,AirbusSmall
QZKVBXTR,MRS,CSD,TLS,MRS,0,1200,0,0,0,20,50,AirbusSmall
CFJDALCC,MRS,ST,TLS,MRS,0,1200,0,0,0,25,51,AirbusSmall
GJZPZIUV,MRS,ST,TLS,MRS,0,1200,0,0,0,27,55,AirbusSmall
VQOVBLFX,MRS,ST,TLS,MRS,0,1200,0,0,0,29,51,AirbusSmall
FJTAFUVZ,MRS,ST,TLS,MRS,0,1200,0,0,0,26,49,AirbusSmall
BECATELD,MRS,ST,TLS,MRS,0,1200,0,0,0,23,40,AirbusSmall
WHXCVFVA,MRS,ST,TLS,MRS,0,1200,0,0,0,27,41,AirbusSmall
JQRVWAAY,FRA,CP,LYS,FRA,0,1200,0,0,0,25,40,AirbusSmall
ZCXHBCMW,FRA,FO,LYS,FRA,0,1200,0,0,0,21,50,AirbusSmall
MKBLWVZB,FRA,CSD,LYS,FRA,0,1200,0,0,0,24,43,AirbusSmall
YHAPQLNW,FRA,CSD,LYS,FRA,0,1200,0,0,0,22,42,AirbusSmall
OMOHUDSW,FRA,ST,LYS,FRA,0,1200,0,0,0,21,58,AirbusSmall
FJUNSGDG,FRA,ST,LYS,FRA,0,1200,0,0,0,23,56,AirbusSmall
BOONKAEJ,FRA,ST,LYS,FRA,0,1200,0,0,0,25,42,AirbusSmall
YLPOUGIO,FRA,ST,LYS,FRA,0,1200,0,0,0,25,50,AirbusSmall
QROFPQRD,FRA,ST,LYS,FRA,0,1200,0,0,0,22,50,AirbusSmall
MVHTRPUZ,FRA,ST,LYS,FRA,0,1200,0,0,0,29,42,AirbusSmall
LSKMRJYO,SXB,CP,CFE,SXB,0,1200,0,0,0,28,41,ERJ
LDKWLZEC,SXB,FO,CFE,SXB,0,1200,0,0,0,26,54,ERJ
SNQJOYIW,SXB,CSD,CFE,SXB,0,1200,0,0,0,22,56,ERJ
DGGVMJLH,SXB,ST,CFE,SXB,0,1200,0,0,0,27,43,ERJ
UXNWLMYZ,SXB,ST,CFE,SXB,0,1200,0,0,0,24,52,ERJ
EKRJCCZN,MLH,CP,MLH,MLH,0,1200,0,0,0,29,50,ERJ
EUJXYQQW,MLH,FO,MLH,MLH,0,1200,0,0,0,20,51,ERJ
TXWOSJON,MLH,CSD,MLH,MLH,0,1200,0,0,0,24,58,ERJ
YLLXTDMX,MLH,ST,MLH,MLH,0,1200,0,0,0,24,58,ERJ
MAQFFQPI,MLH,ST,MLH,MLH,0,1200,0,0,0,21,59,ERJ
VHTLFYIX,ORY,CP,ORY,ORY,0,1200,0,0,0,20,47,AirbusSmall
GYJLDIWE,ORY,FO,ORY,ORY,0,1200,0,0,0,25,43,AirbusSmall
WKVNYLUA,ORY,CSD,ORY,ORY,0,1200,0,0,0,22,53,AirbusSmall
VLSRNPFI,ORY,CSD,ORY,ORY,0,1200,0,0,0,22,42,AirbusSmall
RZEKRSET,ORY,ST,ORY,ORY,0,1200,0,0,0,22,58,AirbusSmall
VGJPTHIS,ORY,ST,ORY,ORY,0,1200,0,0,0,21,40,AirbusSmall
JMIXXZSY,ORY,ST,ORY,ORY,0,1200,0,0,0,29,53,AirbusSmall
SLSZUCFG,ORY,ST,ORY,ORY,0,1200,0,0,0,24,54,AirbusSmall
FWKQFJWK,ORY,ST,ORY,ORY,0,1200,0,0,0,25,45,AirbusSmall
VDPWZDVW,ORY,ST,ORY,ORY,0,1200,0,0,0,22,45,AirbusSmall
GLJMWAUU,SXB,CP,SXB,SXB,0,1200,0,0,0,25,49,CRJ
NKOQDZAX,SXB,FO,SXB,SXB,0,1200,0,0,0,20,48,CRJ
UHOUQUYR,SXB,CS,SXB,SXB,0,1200,0,0,0,21,42,CRJ
NPNIDFTP,SXB,ST,SXB,SXB,0,1200,0,0,0,23,44,CRJ
AYTYHRSJ,SXB,ST,SXB,SXB,0,1200,0,0,0,26,51,CRJ
WFVUCRFX,BES,CP,RNS,BES,0,1200,0,0,0,21,51,AirbusSmall
YRERIXBF,BES,FO,RNS,BES,0,1200,0,0,0,21,55,AirbusSmall
UDZRUBLJ,BES,CSD,RNS,BES,0,1200,0,0,0,25,56,AirbusSmall
ISEMPOIP,BES,CSD,RNS,BES,0,1200,0,0,0,28,43,AirbusSmall
NHBJBNAX,BES,ST,RNS,BES,0,1200,0,0,0,24,49,AirbusSmall
QFIHPZTF,BES,ST,RNS,BES,0,1200,0,0,0,27,40,AirbusSmall
GTYXFDHO,BES,ST,RNS,BES,0,1200,0,0,0,22,40,AirbusSmall
YIKQYOHO,BES,ST,RNS,BES,0,1200,0,0,0,28,55,AirbusSmall
TDKBLOHX,BES,ST,RNS,BES,0,1200,0,0,0,27,57,AirbusSmall
MEOJUNMP,BES,ST,RNS,BES,0,1200,0,0,0,21,44,AirbusSmall
LDMNQMGS,CFE,CP,LYS,CFE,0,1200,0,0,0,27,47,AirbusSmall
HXBBSLFN,CFE,FO,LYS,CFE,0,1200,0,0,0,28,40,AirbusSmall
XBCHHBPT,CFE,CSD,LYS,CFE,0,1200,0,0,0,27,57,AirbusSmall
UCWABZUB,CFE,CSD,LYS,CFE,0,1200,0,0,0,23,53,AirbusSmall
YZHYLECI,CFE,ST,LYS,CFE,0,1200,0,0,0,28,44,AirbusSmall
SQZVEJQH,CFE,ST,LYS,CFE,0,1200,0,0,0,24,58,AirbusSmall
XZKNWBGE,CFE,ST,LYS,CFE,0,1200,0,0,0,25,49,AirbusSmall
XFFCSRHM,CFE,ST,LYS,CFE,0,1200,0,0,0,29,54,AirbusSmall
MRKALKMF,CFE,ST,LYS,CFE,0,1200,0,0,0,23,52,AirbusSmall
LPFLUQNO,CFE,ST,LYS,CFE,0,1200,0,0,0,28,56,AirbusSmall
VYUWRMND,MUC,CP,DUB,MUC,0,1200,0,0,0,29,51,AirbusSmall
BREAUDOD,MUC,FO,DUB,MUC,0,1200,0,0,0,20,40,AirbusSmall
